iter	Passed	Remaining
147	489	2820
148	491	2806
149	493	2797
150	498	2804
151	501	2798
152	504	2792
153	505	2779
154	507	2767
155	509	2755
156	510	2742
157	512	2729
158	513	2718
159	515	2706
160	516	2693
161	518	2683
162	522	2684
163	525	2679
164	527	2669
165	529	2658
166	530	2647
167	532	2638
168	534	2628
169	536	2618
170	537	2607
171	540	2602
172	541	2590
173	545	2587
174	546	2576
175	548	2565
176	549	2554
177	550	2543
178	552	2532
179	553	2521
180	554	2510
181	556	2500
182	557	2489
183	559	2479
184	560	2469
185	562	2459
186	563	2450
187	566	2447
188	568	2437
189	569	2429
190	571	2422
191	573	2413
192	574	2403
193	576	2394
194	579	2393
195	581	2386
196	583	2380
197	592	2398
198	594	2392
199	596	2385
200	598	2377
201	599	2368
202	601	2359
203	602	2351
204	604	2344
205	606	2336
206	607	2328
207	611	2327
208	613	2323
209	615	2315
210	617	2307
211	618	2299
212	620	2291
213	622	2285
214	623	2278
215	625	2270
216	626	2261
217	628	2253
218	633	2259
219	635	2252
220	636	2245
221	638	2237
222	640	2230
223	641	2223
224	643	2215
225	644	2208
226	646	2200
227	647	2192
228	648	2184
229	654	2191
230	657	2188
231	659	2182
232	660	2175
233	662	2168
234	667	2173
235	669	2168
236	671	2161
237	674	2160
238	679	2163
239	681	2158
240	683	2152
241	685	2145
242	686	2139
243	690	2138
244	692	2132
245	693	2126
246	695	2119
247	700	2123
248	702	2117
249	704	2112
250	706	2107
251	707	2100
252	709	2094
253	710	2088
254	712	2081
255	714	2075
256	715	2069
257	719	2070
258	722	2066
259	724	2060
260	725	2055
261	727	2049
262	729	2043
263	730	2037
264	732	2031
265	734	2026
266	736	2020
267	737	2015
268	739	2009
269	741	2003
270	742	1998
271	745	1996
272	747	1990
273	749	1985
274	750	1979
275	752	1973
276	753	1967
277	755	1962
278	757	1956
279	759	1953
280	762	1950
281	765	1949
282	767	1944
283	770	1942
284	773	1939
285	774	1934
286	776	1928
287	778	1923
288	779	1918
289	781	1912
290	782	1907
291	784	1902
292	787	1900
293	789	1895
294	790	1890
295	792	1885
296	794	1880
297	796	1875
298	797	1870
299	799	1865
300	800	1859
301	803	1855
302	804	1851
303	806	1845
304	809	1844
305	811	1839
306	812	1834
307	814	1829
308	815	1824
309	817	1819
310	819	1814
311	820	1809
312	822	1804
313	823	1799
314	825	1794
315	826	1789
316	828	1785
317	831	1782
318	832	1777
319	834	1773
320	836	1768
321	837	1764
322	840	1761
323	841	1756
324	843	1751
325	844	1746
326	846	1741
327	847	1736
328	848	1731
329	850	1726
330	852	1723
331	854	1719
332	856	1714
333	857	1710
334	859	1705
335	861	1701
336	862	1696
337	863	1691
338	865	1686
339	866	1682
340	868	1677
341	869	1673
342	870	1668
343	872	1663
344	875	1661
345	876	1656
346	878	1652
347	879	1648
348	881	1644
349	882	1639
350	884	1634
351	885	1630
352	887	1625
353	888	1621
354	889	1616
355	891	1611
356	892	1607
357	893	1602
358	896	1600
359	897	1595
360	899	1591
361	900	1587
362	901	1582
363	903	1578
364	904	1574
365	906	1569
366	907	1565
367	909	1561
368	910	1556
369	911	1552
370	913	1548
371	914	1544
372	916	1540
373	918	1537
374	920	1533
375	921	1529
376	923	1525
377	924	1521
378	925	1517
379	927	1512
380	928	1508
381	930	1504
382	931	1500
383	932	1496
384	934	1492
385	935	1488
386	938	1485
387	939	1482
388	941	1478
389	942	1474
390	944	1470
391	946	1467
392	947	1463
393	949	1460
394	952	1458
395	954	1456
396	957	1455
397	961	1454
398	963	1451
399	975	1463
400	978	1461
401	981	1459
402	986	1461
403	989	1460
404	992	1458
405	997	1459
406	1000	1457
407	1004	1458
408	1013	1464
409	1017	1464
410	1025	1468
411	1028	1468
412	1033	1469
413	1037	1468
414	1042	1469
415	1047	1470
416	1074	1502
417	1080	1504
418	1084	1503
419	1087	1501
420	1092	1502
421	1096	1501
422	1099	1499
423	1105	1501
424	1110	1501
425	1112	1499
426	1131	1518
427	1134	1516
428	1137	1513
429	1140	1511
430	1143	1509
431	1148	1510
432	1154	1512
433	1158	1510
434	1160	1506
435	1163	1505
436	1165	1502
437	1167	1498
438	1171	1497
439	1174	1494
440	1175	1490
441	1178	1487
442	1181	1485
443	1183	1482
444	1186	1479
445	1188	1476
446	1191	1473
447	1194	1471
448	1196	1468
