iter	Passed	Remaining
694	1308	574
695	1311	572
696	1313	571
697	1316	569
698	1318	567
699	1321	566
700	1324	565
701	1328	563
702	1331	562
703	1334	560
704	1336	559
705	1338	557
706	1340	555
707	1342	553
708	1344	551
709	1346	549
710	1348	547
711	1349	546
712	1351	544
713	1354	542
714	1356	540
715	1358	538
716	1359	536
717	1362	534
718	1364	533
719	1366	531
720	1368	529
721	1370	527
722	1372	525
723	1375	524
724	1378	523
725	1380	521
726	1382	519
727	1384	517
728	1386	515
729	1388	513
730	1390	511
731	1393	510
732	1394	508
733	1397	506
734	1399	504
735	1401	502
736	1403	500
737	1406	499
738	1408	497
739	1410	495
740	1411	493
741	1413	491
742	1415	489
743	1417	487
744	1418	485
745	1420	483
746	1422	481
747	1424	479
748	1426	477
749	1427	475
750	1429	474
751	1431	472
752	1433	470
753	1436	468
754	1439	467
755	1441	465
756	1442	463
757	1444	461
758	1445	459
759	1447	457
760	1449	455
761	1450	453
762	1452	451
763	1454	449
764	1455	447
765	1457	445
766	1459	443
767	1461	441
768	1463	439
769	1464	437
770	1466	435
771	1468	433
772	1470	431
773	1472	429
774	1473	427
775	1475	425
776	1476	423
777	1478	421
778	1480	419
779	1481	417
780	1483	416
781	1485	414
782	1487	412
783	1488	410
784	1490	408
785	1492	406
786	1493	404
787	1495	402
788	1497	400
789	1498	398
790	1500	396
791	1502	394
792	1503	392
793	1505	390
794	1506	388
795	1508	386
796	1510	384
797	1511	382
798	1513	380
799	1515	378
800	1517	376
801	1518	374
802	1520	373
803	1524	371
804	1526	369
805	1528	367
806	1529	365
807	1531	363
808	1533	362
809	1534	360
810	1536	358
811	1538	356
812	1539	354
813	1541	352
814	1542	350
815	1544	348
816	1546	346
817	1547	344
818	1549	342
819	1550	340
820	1552	338
821	1554	336
822	1555	334
823	1557	332
824	1559	330
825	1560	328
826	1562	326
827	1564	324
828	1565	323
829	1567	321
830	1569	319
831	1570	317
832	1572	315
833	1574	313
834	1577	311
835	1578	309
836	1580	307
837	1582	305
